RegistrationType,Modalities,Subject,TimeElapsed,PreLandmarkError,PostLandmarkError
"antsRegistrationSyN[b,4,26]",t1ce_t2,BraTSReg_061,738.5719428062439,3.8785892161461533,2.996345047188442
"antsRegistrationSyN[s,2]",t1ce_flair,BraTSReg_095,293.94513416290283,2.9612392278166046,1.4030744406167894
"antsRegistrationSyN[s,2]",t1ce_t2,BraTSReg_095,290.092942237854,2.9612392278166046,1.3314867738746972
"antsRegistrationSyN[b,2,26]",t1ce_flair,BraTSReg_095,369.7695610523224,2.9612392278166046,1.515302799851544
"antsRegistrationSyN[b,2,26]",t1ce_t2,BraTSReg_095,365.9899389743805,2.9612392278166046,1.12944333141692
"antsRegistrationSyN[s,4]",t1ce_flair,BraTSReg_095,622.7926712036133,2.9612392278166046,1.6060835779924243
"antsRegistrationSyN[s,4]",t1ce_t2,BraTSReg_095,638.6135909557343,2.9612392278166046,1.443756904099041
"antsRegistrationSyN[b,4,26]",t1ce_flair,BraTSReg_095,743.3781313896179,2.9612392278166046,1.6406428877869856
"antsRegistrationSyN[b,4,26]",t1ce_t2,BraTSReg_095,737.8016901016235,2.9612392278166046,1.2464544988124135
"antsRegistrationSyN[s,2]",t1ce_flair,BraTSReg_059,288.28500390052795,3.7728498408896356,2.7269047255687644
"antsRegistrationSyN[s,2]",t1ce_t2,BraTSReg_059,280.48244285583496,3.7728498408896356,2.834652565222777
"antsRegistrationSyN[b,2,26]",t1ce_flair,BraTSReg_059,417.3612620830536,3.7728498408896356,2.7140177876799116
"antsRegistrationSyN[b,2,26]",t1ce_t2,BraTSReg_059,402.51259684562683,3.7728498408896356,2.7590688450246805
"antsRegistrationSyN[s,4]",t1ce_flair,BraTSReg_059,619.7652080059052,3.7728498408896356,2.8874738100595723
"antsRegistrationSyN[s,4]",t1ce_t2,BraTSReg_059,643.902302980423,3.7728498408896356,3.2061459737015414
"antsRegistrationSyN[b,4,26]",t1ce_flair,BraTSReg_059,773.6632437705994,3.7728498408896356,2.86244391952887
"antsRegistrationSyN[b,4,26]",t1ce_t2,BraTSReg_059,730.6908528804779,3.7728498408896356,3.2735444941888043
"antsRegistrationSyN[s,2]",t1ce_flair,BraTSReg_092,270.3206069469452,2.970962483532722,0.8478368731596547
"antsRegistrationSyN[s,2]",t1ce_t2,BraTSReg_092,265.52277302742004,2.970962483532722,0.9811855274336038
"antsRegistrationSyN[b,2,26]",t1ce_flair,BraTSReg_092,387.90359926223755,2.970962483532722,0.8429648064831999
"antsRegistrationSyN[b,2,26]",t1ce_t2,BraTSReg_092,397.3897120952606,2.970962483532722,0.9960629771967431
"antsRegistrationSyN[s,4]",t1ce_flair,BraTSReg_092,646.6105427742004,2.970962483532722,0.9997783294117158
"antsRegistrationSyN[s,4]",t1ce_t2,BraTSReg_092,620.8898251056671,2.970962483532722,1.140168393261681
"antsRegistrationSyN[b,4,26]",t1ce_flair,BraTSReg_092,741.1141088008881,2.970962483532722,1.0107025927060709
"antsRegistrationSyN[b,4,26]",t1ce_t2,BraTSReg_092,763.3168079853058,2.970962483532722,1.2009326485770346
"antsRegistrationSyN[s,2]",t1ce_flair,BraTSReg_066,282.09581303596497,4.841603265413882,1.354095364989146
"antsRegistrationSyN[s,2]",t1ce_t2,BraTSReg_066,274.51266598701477,4.841603265413882,2.456055723607269
"antsRegistrationSyN[b,2,26]",t1ce_flair,BraTSReg_066,420.83980226516724,4.841603265413882,1.4103877928316417
"antsRegistrationSyN[b,2,26]",t1ce_t2,BraTSReg_066,407.6025609970093,4.841603265413882,1.4254542355577282
"antsRegistrationSyN[s,4]",t1ce_flair,BraTSReg_066,666.3052039146423,4.841603265413882,1.7839730114821788
"antsRegistrationSyN[s,4]",t1ce_t2,BraTSReg_066,680.2988500595093,4.841603265413882,2.8160944256410962
"antsRegistrationSyN[b,4,26]",t1ce_flair,BraTSReg_066,762.0442371368408,4.841603265413882,1.4295666343714957
"antsRegistrationSyN[b,4,26]",t1ce_t2,BraTSReg_066,750.6015202999115,4.841603265413882,1.6313113755141693
"antsRegistrationSyN[s,2]",t1ce_flair,BraTSReg_050,321.6021840572357,4.173087594853652,2.766701090633919
"antsRegistrationSyN[s,2]",t1ce_t2,BraTSReg_050,286.05547976493835,4.173087594853652,3.0524818919785672
"antsRegistrationSyN[b,2,26]",t1ce_flair,BraTSReg_050,401.4938931465149,4.173087594853652,2.887633750340129
"antsRegistrationSyN[b,2,26]",t1ce_t2,BraTSReg_050,406.16990900039673,4.173087594853652,3.063638076654838
"antsRegistrationSyN[s,4]",t1ce_flair,BraTSReg_050,628.6339418888092,4.173087594853652,2.5685473727252814
"antsRegistrationSyN[s,4]",t1ce_t2,BraTSReg_050,650.2315928936005,4.173087594853652,3.177170734111321
"antsRegistrationSyN[b,4,26]",t1ce_flair,BraTSReg_050,713.779666185379,4.173087594853652,2.4663152749938058
"antsRegistrationSyN[b,4,26]",t1ce_t2,BraTSReg_050,731.4667592048645,4.173087594853652,3.1593352118648146
"antsRegistrationSyN[s,2]",t1ce_flair,BraTSReg_068,298.140976190567,4.252609759845673,3.9943522819459254
"antsRegistrationSyN[s,2]",t1ce_t2,BraTSReg_068,337.20660614967346,4.252609759845673,3.016648990117193
"antsRegistrationSyN[b,2,26]",t1ce_flair,BraTSReg_068,403.60622787475586,4.252609759845673,4.013738683640819
"antsRegistrationSyN[b,2,26]",t1ce_t2,BraTSReg_068,409.0975270271301,4.252609759845673,3.0467155909272043
"antsRegistrationSyN[s,4]",t1ce_flair,BraTSReg_068,630.5634701251984,4.252609759845673,4.580715952389676
"antsRegistrationSyN[s,4]",t1ce_t2,BraTSReg_068,632.7750079631805,4.252609759845673,3.8019264489838647
"antsRegistrationSyN[b,4,26]",t1ce_flair,BraTSReg_068,757.5735931396484,4.252609759845673,4.669090675600882
"antsRegistrationSyN[b,4,26]",t1ce_t2,BraTSReg_068,748.9667458534241,4.252609759845673,3.870645605784702
"antsRegistrationSyN[s,2]",t1ce_flair,BraTSReg_057,270.5454070568085,3.927616510586583,2.8862046855989596
"antsRegistrationSyN[s,2]",t1ce_t2,BraTSReg_057,281.00999188423157,3.927616510586583,2.882615238400498
"antsRegistrationSyN[b,2,26]",t1ce_flair,BraTSReg_057,405.60843300819397,3.927616510586583,2.716519738730389
"antsRegistrationSyN[b,2,26]",t1ce_t2,BraTSReg_057,384.92152976989746,3.927616510586583,2.89622375466723
"antsRegistrationSyN[s,4]",t1ce_flair,BraTSReg_057,621.7404518127441,3.927616510586583,3.733848378355705
"antsRegistrationSyN[s,4]",t1ce_t2,BraTSReg_057,642.5570299625397,3.927616510586583,2.8372313277098904
"antsRegistrationSyN[b,4,26]",t1ce_flair,BraTSReg_057,736.1218407154083,3.927616510586583,3.028283744604529
"antsRegistrationSyN[b,4,26]",t1ce_t2,BraTSReg_057,746.3020431995392,3.927616510586583,2.8852658734628385
"antsRegistrationSyN[s,2]",t1ce_flair,BraTSReg_034,279.38481998443604,1.345177968644246,1.021975631934069
"antsRegistrationSyN[s,2]",t1ce_t2,BraTSReg_034,273.00570607185364,1.345177968644246,1.05822381771749
"antsRegistrationSyN[b,2,26]",t1ce_flair,BraTSReg_034,413.1078231334686,1.345177968644246,1.038467889644104
"antsRegistrationSyN[b,2,26]",t1ce_t2,BraTSReg_034,409.4034402370453,1.345177968644246,0.9556283537999896
"antsRegistrationSyN[s,4]",t1ce_flair,BraTSReg_034,632.7319929599762,1.345177968644246,1.0666660962904466
"antsRegistrationSyN[s,4]",t1ce_t2,BraTSReg_034,630.4051923751831,1.345177968644246,1.0773867021793915
"antsRegistrationSyN[b,4,26]",t1ce_flair,BraTSReg_034,756.1890330314636,1.345177968644246,1.1241825147451905
"antsRegistrationSyN[b,4,26]",t1ce_t2,BraTSReg_034,749.1405830383301,1.345177968644246,1.0388703594773672
"antsRegistrationSyN[s,2]",t1ce_flair,BraTSReg_033,278.36774015426636,1.74535599249993,1.1952926398162587
"antsRegistrationSyN[s,2]",t1ce_t2,BraTSReg_033,275.48962473869324,1.74535599249993,1.4728936299428692
"antsRegistrationSyN[b,2,26]",t1ce_flair,BraTSReg_033,393.3873119354248,1.74535599249993,1.1299051723552425
"antsRegistrationSyN[b,2,26]",t1ce_t2,BraTSReg_033,405.53522777557373,1.74535599249993,1.5374850207276236
"antsRegistrationSyN[s,4]",t1ce_flair,BraTSReg_033,625.1136362552643,1.74535599249993,1.0496579756352344
"antsRegistrationSyN[s,4]",t1ce_t2,BraTSReg_033,624.2134459018707,1.74535599249993,1.4392488649685147
"antsRegistrationSyN[b,4,26]",t1ce_flair,BraTSReg_033,749.0700018405914,1.74535599249993,1.1295647248071685
"antsRegistrationSyN[b,4,26]",t1ce_t2,BraTSReg_033,722.6540238857269,1.74535599249993,1.4860257292754324
"antsRegistrationSyN[s,2]",t1ce_flair,BraTSReg_005,285.31148195266724,3.083499712092545,1.4919875563220468
"antsRegistrationSyN[s,2]",t1ce_t2,BraTSReg_005,292.6939640045166,3.083499712092545,1.6468544386109611
"antsRegistrationSyN[b,2,26]",t1ce_flair,BraTSReg_005,394.3680272102356,3.083499712092545,1.4704609004809983
"antsRegistrationSyN[b,2,26]",t1ce_t2,BraTSReg_005,399.29553294181824,3.083499712092545,1.5730591494010346
"antsRegistrationSyN[s,4]",t1ce_flair,BraTSReg_005,620.9944529533386,3.083499712092545,1.4534789579976692
"antsRegistrationSyN[s,4]",t1ce_t2,BraTSReg_005,604.7098438739777,3.083499712092545,1.6978227663749106
"antsRegistrationSyN[b,4,26]",t1ce_flair,BraTSReg_005,724.9044058322906,3.083499712092545,1.4745855090416429
"antsRegistrationSyN[b,4,26]",t1ce_t2,BraTSReg_005,728.166041135788,3.083499712092545,1.6246208849768446
"antsRegistrationSyN[s,2]",t1ce_flair,BraTSReg_002,267.8052988052368,2.325255458393975,1.2909146555828925
"antsRegistrationSyN[s,2]",t1ce_t2,BraTSReg_002,263.91597294807434,2.325255458393975,1.4174135807878114
"antsRegistrationSyN[b,2,26]",t1ce_flair,BraTSReg_002,396.67412304878235,2.325255458393975,1.329150639794291
"antsRegistrationSyN[b,2,26]",t1ce_t2,BraTSReg_002,393.6904561519623,2.325255458393975,1.5320399084362306
"antsRegistrationSyN[s,4]",t1ce_flair,BraTSReg_002,626.6840870380402,2.325255458393975,1.4033912410664662
"antsRegistrationSyN[s,4]",t1ce_t2,BraTSReg_002,605.1911001205444,2.325255458393975,1.325886908542122
"antsRegistrationSyN[b,4,26]",t1ce_flair,BraTSReg_002,729.2901730537415,2.325255458393975,1.4914191814077304
"antsRegistrationSyN[b,4,26]",t1ce_t2,BraTSReg_002,716.73535323143,2.325255458393975,1.478345041873973
"antsRegistrationSyN[s,2]",t1ce_flair,BraTSReg_069,282.3087728023529,3.4853685607022498,2.862141884105776
"antsRegistrationSyN[s,2]",t1ce_t2,BraTSReg_069,270.7999448776245,3.4853685607022498,2.666049203891427
"antsRegistrationSyN[b,2,26]",t1ce_flair,BraTSReg_069,385.6311218738556,3.4853685607022498,2.86463969189573
"antsRegistrationSyN[b,2,26]",t1ce_t2,BraTSReg_069,379.1905629634857,3.4853685607022498,2.6186435443045375
"antsRegistrationSyN[s,4]",t1ce_flair,BraTSReg_069,609.9399700164795,3.4853685607022498,3.037490936347339
"antsRegistrationSyN[s,4]",t1ce_t2,BraTSReg_069,609.381552696228,3.4853685607022498,2.743606632317097
"antsRegistrationSyN[b,4,26]",t1ce_flair,BraTSReg_069,725.718719959259,3.4853685607022498,2.864297041238909
"antsRegistrationSyN[b,4,26]",t1ce_t2,BraTSReg_069,720.7701108455658,3.4853685607022498,2.5727733380811277
"antsRegistrationSyN[s,2]",t1ce_flair,BraTSReg_056,266.1908390522003,4.266743079815105,1.460333704750401
"antsRegistrationSyN[s,2]",t1ce_t2,BraTSReg_056,276.5745360851288,4.266743079815105,1.2428725323408132
"antsRegistrationSyN[b,2,26]",t1ce_flair,BraTSReg_056,391.95669078826904,4.266743079815105,1.4663612418723952
"antsRegistrationSyN[b,2,26]",t1ce_t2,BraTSReg_056,381.45327377319336,4.266743079815105,1.3001533384341737
"antsRegistrationSyN[s,4]",t1ce_flair,BraTSReg_056,619.9102499485016,4.266743079815105,1.4313181306808824
"antsRegistrationSyN[s,4]",t1ce_t2,BraTSReg_056,619.267215013504,4.266743079815105,1.3780635324820316
